algorithm_name,size,ce=0.3,ce=0.6,ce=0.9
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,74.0,99.0,107.0
simulated_annealing,100,75.0,100.0,108.0
simulated_annealing,100,75.0,100.0,108.0
simulated_annealing,100,75.0,100.0,108.0
simulated_annealing,100,76.0,101.0,109.0
simulated_annealing,100,76.0,101.0,109.0
simulated_annealing,100,76.0,101.0,109.0
simulated_annealing,100,76.0,101.0,109.0
simulated_annealing,100,76.0,101.0,109.0
simulated_annealing,100,76.0,102.0,110.0
simulated_annealing,100,76.0,102.0,110.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,77.0,103.0,111.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,112.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,78.0,104.0,113.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,79.0,105.0,114.0
simulated_annealing,100,80.0,106.0,115.0
simulated_annealing,100,80.0,106.0,115.0
simulated_annealing,100,80.0,106.0,115.0
simulated_annealing,100,80.0,106.0,115.0
simulated_annealing,100,80.0,106.0,115.0
simulated_annealing,100,80.0,107.0,116.0
