algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,7295.0,9707.0,10474.0
genetic_algorithm,100,7299.0,9708.0,10475.0
genetic_algorithm,100,7299.0,9708.0,10475.0
genetic_algorithm,100,7300.0,9713.0,10476.0
genetic_algorithm,100,7308.0,9723.0,10484.0
genetic_algorithm,100,7308.0,9723.0,10484.0
genetic_algorithm,100,7308.0,9723.0,10484.0
genetic_algorithm,100,7308.0,9723.0,10485.0
genetic_algorithm,100,7308.0,9723.0,10485.0
genetic_algorithm,100,7314.0,9725.0,10485.0
genetic_algorithm,100,7314.0,9725.0,10485.0
genetic_algorithm,100,7314.0,9727.0,10486.0
genetic_algorithm,100,7320.0,9730.0,10488.0
genetic_algorithm,100,7320.0,9730.0,10490.0
genetic_algorithm,100,7324.0,9731.0,10490.0
genetic_algorithm,100,7324.0,9731.0,10490.0
genetic_algorithm,100,7324.0,9735.0,10492.0
genetic_algorithm,100,7324.0,9735.0,10501.0
genetic_algorithm,100,7327.0,9736.0,10501.0
genetic_algorithm,100,7328.0,9736.0,10501.0
genetic_algorithm,100,7329.0,9737.0,10501.0
genetic_algorithm,100,7329.0,9738.0,10502.0
genetic_algorithm,100,7329.0,9738.0,10502.0
genetic_algorithm,100,7329.0,9744.0,10505.0
genetic_algorithm,100,7329.0,9744.0,10506.0
genetic_algorithm,100,7329.0,9744.0,10506.0
genetic_algorithm,100,7337.0,9747.0,10507.0
genetic_algorithm,100,7337.0,9747.0,10507.0
genetic_algorithm,100,7339.0,9751.0,10508.0
genetic_algorithm,100,7339.0,9751.0,10508.0
genetic_algorithm,100,7339.0,9751.0,10508.0
genetic_algorithm,100,7339.0,9751.0,10511.0
genetic_algorithm,100,7339.0,9761.0,10515.0
genetic_algorithm,100,7339.0,9768.0,10517.0
genetic_algorithm,100,7339.0,9768.0,10517.0
genetic_algorithm,100,7339.0,9773.0,10519.0
genetic_algorithm,100,7340.0,9779.0,10521.0
genetic_algorithm,100,7341.0,9779.0,10521.0
genetic_algorithm,100,7341.0,9779.0,10521.0
genetic_algorithm,100,7341.0,9779.0,10521.0
genetic_algorithm,100,7347.0,9781.0,10526.0
genetic_algorithm,100,7347.0,9791.0,10530.0
genetic_algorithm,100,7347.0,9791.0,10530.0
genetic_algorithm,100,7347.0,9791.0,10530.0
genetic_algorithm,100,7347.0,9791.0,10530.0
genetic_algorithm,100,7347.0,9797.0,10536.0
