algorithm_name,size,mutation_probs=0.3,mutation_probs=0.6,mutation_probs=0.9
genetic_algorithm,100,53.0,92.0,112.0
genetic_algorithm,100,53.0,92.0,112.0
genetic_algorithm,100,53.0,92.0,112.0
genetic_algorithm,100,54.0,92.0,113.0
genetic_algorithm,100,54.0,92.0,117.0
genetic_algorithm,100,55.0,93.0,118.0
genetic_algorithm,100,55.0,94.0,118.0
genetic_algorithm,100,55.0,94.0,119.0
genetic_algorithm,100,55.0,94.0,119.0
genetic_algorithm,100,55.0,94.0,121.0
genetic_algorithm,100,55.0,94.0,121.0
genetic_algorithm,100,55.0,94.0,121.0
genetic_algorithm,100,56.0,95.0,122.0
genetic_algorithm,100,58.0,96.0,122.0
genetic_algorithm,100,58.0,96.0,122.0
genetic_algorithm,100,58.0,96.0,122.0
genetic_algorithm,100,61.0,97.0,123.0
genetic_algorithm,100,61.0,97.0,123.0
genetic_algorithm,100,61.0,97.0,123.0
genetic_algorithm,100,61.0,97.0,123.0
genetic_algorithm,100,62.0,99.0,123.0
genetic_algorithm,100,62.0,99.0,123.0
genetic_algorithm,100,62.0,99.0,123.0
genetic_algorithm,100,62.0,99.0,123.0
genetic_algorithm,100,62.0,100.0,124.0
genetic_algorithm,100,62.0,100.0,124.0
genetic_algorithm,100,62.0,100.0,125.0
genetic_algorithm,100,62.0,101.0,126.0
genetic_algorithm,100,62.0,102.0,126.0
genetic_algorithm,100,62.0,102.0,126.0
genetic_algorithm,100,62.0,102.0,127.0
genetic_algorithm,100,62.0,102.0,127.0
genetic_algorithm,100,62.0,102.0,127.0
genetic_algorithm,100,62.0,102.0,127.0
genetic_algorithm,100,62.0,102.0,127.0
genetic_algorithm,100,63.0,104.0,127.0
genetic_algorithm,100,63.0,104.0,127.0
genetic_algorithm,100,63.0,104.0,127.0
genetic_algorithm,100,63.0,105.0,128.0
genetic_algorithm,100,63.0,105.0,128.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,105.0,129.0
genetic_algorithm,100,63.0,106.0,130.0
genetic_algorithm,100,64.0,107.0,130.0
genetic_algorithm,100,64.0,107.0,130.0
genetic_algorithm,100,64.0,107.0,130.0
genetic_algorithm,100,64.0,107.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,131.0
genetic_algorithm,100,64.0,108.0,132.0
genetic_algorithm,100,64.0,108.0,132.0
genetic_algorithm,100,64.0,108.0,132.0
genetic_algorithm,100,64.0,108.0,132.0
genetic_algorithm,100,64.0,109.0,132.0
genetic_algorithm,100,64.0,109.0,132.0
genetic_algorithm,100,64.0,109.0,132.0
genetic_algorithm,100,64.0,110.0,132.0
genetic_algorithm,100,64.0,110.0,132.0
genetic_algorithm,100,64.0,110.0,133.0
genetic_algorithm,100,64.0,111.0,134.0
genetic_algorithm,100,65.0,112.0,134.0
genetic_algorithm,100,65.0,112.0,134.0
genetic_algorithm,100,65.0,112.0,134.0
genetic_algorithm,100,65.0,112.0,134.0
genetic_algorithm,100,67.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,113.0,135.0
genetic_algorithm,100,68.0,114.0,135.0
genetic_algorithm,100,70.0,115.0,135.0
genetic_algorithm,100,70.0,115.0,136.0
genetic_algorithm,100,70.0,116.0,136.0
genetic_algorithm,100,70.0,116.0,137.0
genetic_algorithm,100,70.0,116.0,137.0
genetic_algorithm,100,70.0,116.0,137.0
genetic_algorithm,100,72.0,117.0,138.0
genetic_algorithm,100,72.0,117.0,138.0
genetic_algorithm,100,72.0,117.0,138.0
genetic_algorithm,100,74.0,119.0,138.0
genetic_algorithm,100,75.0,119.0,138.0
genetic_algorithm,100,75.0,119.0,138.0
genetic_algorithm,100,75.0,119.0,138.0
genetic_algorithm,100,75.0,119.0,138.0
genetic_algorithm,100,75.0,119.0,138.0
genetic_algorithm,100,75.0,119.0,139.0
genetic_algorithm,100,75.0,119.0,139.0
genetic_algorithm,100,76.0,119.0,139.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,76.0,119.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,120.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,77.0,121.0,140.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,122.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,123.0,141.0
genetic_algorithm,100,78.0,124.0,141.0
